Area,Mean,StdDev,Circ.,AR,Round,Solidity,WT.or.LOF.or.Auxin
0.266,366891.403,11098.778,0.685,2.333,0.429,0.847,Auxin
0.069,360996.721,3238.438,0.974,1.161,0.862,0.894,Auxin
0.089,361489.534,3521.148,0.988,1.365,0.733,0.916,Auxin
0.08,360902.952,2950.048,0.949,1.533,0.652,0.917,Auxin
0.179,364879.369,6547.028,0.898,1.649,0.607,0.912,Auxin
0.148,362446.887,4232.595,0.859,1.83,0.546,0.896,Auxin
0.096,361426.747,3254.704,0.957,1.43,0.699,0.914,Auxin
0.175,363406.698,5509.155,0.738,2.037,0.491,0.882,Auxin
0.114,361557.669,3350.809,0.838,1.98,0.505,0.94,Auxin
0.287,361527.543,3687.324,0.456,3.836,0.261,0.755,Auxin
0.161,363775.903,5779.946,0.834,1.856,0.539,0.899,Auxin
0.099,361851.086,3524.128,0.91,1.802,0.555,0.924,Auxin
0.199,360092.387,2373.091,0.557,3.566,0.28,0.873,Auxin
0.101,359824.299,3334.484,0.95,1.29,0.775,0.875,Auxin
0.04,357246.595,1210.189,1,1.542,0.649,0.957,Auxin
0.038,356799.083,1037.447,1,1,1,0.913,Auxin
0.036,356667.481,979.724,1,1.203,0.831,0.851,Auxin
0.101,358564.469,2349.94,0.911,1.492,0.67,0.882,Auxin
0.018,356091.859,413.06,1,1.236,0.809,0.909,Auxin
0.014,355945.664,365.95,1,1.229,0.814,0.941,Auxin
0.083,359436.368,2976.883,1,1.163,0.86,0.92,Auxin
0.025,356179.893,620.997,0.993,1.264,0.791,0.848,Auxin
0.119,361811.579,5157.875,0.988,1.263,0.792,0.93,Auxin
0.24,364240.897,7040.244,0.862,1.782,0.561,0.92,Auxin
0.119,362913.867,5766.455,0.934,1.35,0.741,0.904,Auxin
0.014,355998.988,384.249,1,1.229,0.814,0.941,Auxin
0.074,358975.091,2522.218,0.928,1.172,0.853,0.882,Auxin
0.09,359182.455,2922.931,1,1.158,0.864,0.952,Auxin
0.063,357059.477,1111.008,0.968,1.588,0.63,0.933,Auxin
0.094,359457.511,2879.771,0.956,1.715,0.583,0.945,Auxin
0.145,360885.361,3987.957,0.811,1.797,0.556,0.884,Auxin
0.011,355618.729,206.724,0.916,1.809,0.553,0.857,Auxin
0.018,355937.681,407.211,1,1.327,0.753,0.909,Auxin
0.002,355205.438,0,1,1,1,1,Auxin
0.065,357701.707,1621.926,1,1.136,0.88,0.878,Auxin
0.07,358700.94,2335.991,1,1.307,0.765,0.918,Auxin
0.125,361286.18,4504.266,0.924,1.341,0.746,0.879,Auxin
0.199,360395.629,3645.302,0.828,1.876,0.533,0.905,Auxin
0.172,362428.014,5567.556,0.932,1.437,0.696,0.931,Auxin
0.089,358959.181,2812.004,0.988,1.24,0.806,0.907,Auxin
0.09,358756.827,2555.075,0.962,1.268,0.788,0.917,Auxin
0.04,356317.615,771.661,1,1.176,0.85,0.88,Auxin
0.007,355428.898,101.927,1,1,1,1,Auxin
0.15,360497.504,3857.541,0.926,1.519,0.658,0.943,Auxin
0.016,355841.691,500.064,0.884,1.158,0.864,0.75,Auxin
0.063,357386.754,1576.84,1,1.189,0.841,0.921,Auxin
0.029,356389.207,643.73,1,1.209,0.827,0.889,Auxin
0.065,358254.456,2140.253,1,1.254,0.798,0.9,Auxin
0.201,362114.116,5322.5,0.86,1.544,0.648,0.892,Auxin
0.047,357024.244,1336.431,1,1.184,0.845,0.929,Auxin
0.121,365460.072,6693.64,0.987,1.059,0.944,0.899,Auxin
0.094,363031.089,4627.902,1,1.076,0.929,0.92,Auxin
0.038,359435.524,1564.129,1,1.182,0.846,0.913,Auxin
0.08,361787.482,3393.759,0.949,1.198,0.835,0.907,Auxin
0.051,360196.212,2151.82,1,1.018,0.982,0.903,Auxin
0.02,357875.472,640.17,1,1.372,0.729,0.957,Auxin
0.099,363875.314,4954.201,1,1.187,0.843,0.909,Auxin
0.163,364292.106,5412.544,0.843,1.702,0.587,0.882,Auxin
0.042,359188.836,1500.317,1,1.008,0.992,0.958,Auxin
0.085,361000.737,2820.77,0.887,1.73,0.578,0.855,Auxin
0.034,358592.984,1282.898,1,1.161,0.861,0.884,Auxin
0.112,361600.05,3125.138,0.892,1.93,0.518,0.939,Auxin
0.318,366188.961,6199.769,0.71,2.688,0.372,0.936,Auxin
0.002,356937.156,0,1,1,1,1,Auxin
0.014,357845.258,460.644,1,1.229,0.814,0.941,Auxin
0.108,365094.184,5969.036,0.976,1.301,0.769,0.909,Auxin
0.184,362951.984,4544.195,0.734,2.092,0.478,0.911,Auxin
0.038,360178.159,1532.881,1,1,1,0.913,Auxin
0.074,362354.676,3276.891,1,1.176,0.85,0.882,Auxin
0.08,363377.923,3886.793,0.949,1.141,0.876,0.898,Auxin
0.161,369059.755,9272.812,0.965,1.264,0.791,0.904,Auxin
0.074,362006.962,2984.34,0.928,1.173,0.853,0.872,Auxin
0.177,370018.676,9193.774,0.851,1.406,0.711,0.875,Auxin
0.069,363078.839,3710.171,1,1.022,0.979,0.894,Auxin
0.061,361848.933,2715.358,1,1.275,0.784,0.919,Auxin
0.031,359378.719,1052.796,1,1.263,0.792,0.919,Auxin
0.009,358239.219,280.14,1,1.553,0.644,0.909,Auxin
0.154,366107.864,6147.986,0.935,1.571,0.637,0.929,Auxin
0.078,363715.794,4267.932,1,1.077,0.928,0.896,Auxin
0.11,364109.584,4650.36,0.929,1.381,0.724,0.938,Auxin
0.168,364983.428,4572.426,0.829,2.012,0.497,0.959,Auxin
0.108,364295.685,5168.906,1,1.16,0.862,0.93,Auxin
0.128,366486.004,6631.006,0.966,1.333,0.75,0.928,Auxin
0.058,361411.53,2300.497,1,1.177,0.85,0.901,Auxin
0.072,363191.915,3956.633,1,1.234,0.81,0.92,Auxin
0.202,365727.356,5475.941,0.815,2.022,0.494,0.949,Auxin
0.027,359734.965,1127.809,1,1.137,0.88,0.968,Auxin
0.014,356735.008,479.079,0.914,1.416,0.706,0.8,Auxin
0.004,356240,33.013,1,2,0.5,1,Auxin
0.094,361236.857,3401.301,1,1.302,0.768,0.929,Auxin
0.047,358997.355,1752.302,1,1.271,0.787,0.867,Auxin
0.049,358744.399,1774.44,1,1.059,0.945,0.885,Auxin
0.228,367455.548,9388.599,0.886,1.488,0.672,0.897,Auxin
0.159,361347.362,4373.194,0.71,2.318,0.431,0.85,Auxin
0.056,359110.774,1880.083,1,1.058,0.945,0.925,Auxin
0.042,359165.637,2420.638,0.964,1.623,0.616,0.92,Auxin
0.072,359492.691,2238.047,1,1.434,0.698,0.93,Auxin
0.065,360575.443,2842.56,0.996,1.303,0.768,0.935,Auxin
0.145,363819.513,5920.112,0.88,1.578,0.634,0.904,Auxin
0.067,358963.331,1719.942,0.969,1.582,0.632,0.961,Auxin
0.123,361543.348,3987.498,0.962,1.403,0.713,0.907,Auxin
0.072,359868.204,2460.041,1,1.279,0.782,0.93,Auxin
0.058,359612.151,2185.959,0.991,1.312,0.762,0.901,Auxin
0.047,358794.742,1402.51,1,1.087,0.92,0.867,Auxin
