C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev,WT.or.LOF.or.Auxin
356104.644,353635.468,359824.299,2675.532,3334.484,Auxin
353689.018,351418.864,357246.595,983.396,1210.189,Auxin
353668.15,352498.281,356799.083,977.42,1037.447,Auxin
354771.074,351530.472,356667.481,1729.814,979.724,Auxin
353540.875,351011.631,358564.469,781.396,2349.94,Auxin
354605.321,351837.406,356091.859,1633.073,413.06,Auxin
354001.133,351955.429,355945.664,1284.654,365.95,Auxin
352458.706,357408.298,359436.368,96.363,2976.883,Auxin
353089.4,352789.188,356179.893,482.855,620.997,Auxin
352383.424,350355.868,361811.579,53.106,5157.875,Auxin
353294.277,351499.614,364240.897,919.154,7040.244,Auxin
353585.382,351530.885,362913.867,886.33,5766.455,Auxin
353081.24,353419.031,355998.988,498.933,384.249,Auxin
352352.492,350766.598,358975.091,27.92,2522.218,Auxin
353654.295,353353.636,359182.455,1094.416,2922.931,Auxin
352795.216,353056.526,357059.477,333.782,1111.008,Auxin
NA,NA,359457.511,NA,2879.771,Auxin
NA,NA,360885.361,NA,3987.957,Auxin
NA,NA,355618.729,NA,206.724,Auxin
357724.517,354706.528,365460.072,3811.345,6693.64,Auxin
354249.648,350520.455,363031.089,715.758,4627.902,Auxin
358732.26,352088.451,359435.524,4002.207,1564.129,Auxin
355507.32,353932.014,361787.482,1368.82,3393.759,Auxin
355207.811,352075.551,360196.212,1328.099,2151.82,Auxin
355270.282,351366.556,357875.472,1413.769,640.17,Auxin
354733.395,350800.447,363875.314,1087.54,4954.201,Auxin
353448.176,350610.246,364292.106,194.633,5412.544,Auxin
354418.735,353657.972,359188.836,814.231,1500.317,Auxin
354185.958,350537.235,361000.737,736.491,2820.77,Auxin
354599.727,354300.35,358592.984,990.454,1282.898,Auxin
355323.63,354168.489,361600.05,1520.339,3125.138,Auxin
355590.688,355754.638,366188.961,1775.572,6199.769,Auxin
354892.445,353440.452,356937.156,1537.161,0,Auxin
354524.063,358691.542,357845.258,973.155,460.644,Auxin
353356.741,350478.297,365094.184,132.623,5969.036,Auxin
354492.503,351302.304,362951.984,897.182,4544.195,Auxin
354079.303,351423.852,NA,659.388,NA,Auxin
353867.464,351576.486,NA,456.554,NA,Auxin
353610.601,350665.598,NA,310.801,NA,Auxin
353424.38,353285.578,NA,170.23,NA,Auxin
353341.835,353687.909,NA,164.909,NA,Auxin
360952.408,353046.521,356735.008,4692.906,479.079,Auxin
361786.894,355785.385,356240,5133.242,33.013,Auxin
356300.404,353771.89,361236.857,1196.219,3401.301,Auxin
356554.526,352381.771,358997.355,1166.341,1752.302,Auxin
360182.374,353663.689,358744.399,3829.065,1774.44,Auxin
357025.505,352711.692,367455.548,1371.431,9388.599,Auxin
358383.473,354213.17,361347.362,2822.641,4373.194,Auxin
357414.614,352887.775,359110.774,1706.391,1880.083,Auxin
354774.766,353393.594,359165.637,22.959,2420.638,Auxin
356065.146,357926.767,359492.691,788.691,2238.047,Auxin
358875.581,354623.053,360575.443,3119.502,2842.56,Auxin
356025.877,352495.835,363819.513,763.524,5920.112,Auxin
356276.214,352825.386,358963.331,1107.935,1719.942,Auxin
356383.537,352584.769,361543.348,1062.228,3987.498,Auxin
356348.041,354134.658,359868.204,1037.185,2460.041,Auxin
NA,NA,359612.151,NA,2185.959,Auxin
352673.279,350431.457,356982.525,489.197,2123.807,Auxin
352907.856,352231.907,357394.884,625.072,2542.219,Auxin
353814.892,352326.625,357944.523,1367.24,2966.683,Auxin
353947.951,350635.377,357122.12,1583.982,2279.521,Auxin
353692.205,351437.977,354423.75,1199.325,203.392,Auxin
352469.639,350553.65,355517.373,316.87,993.044,Auxin
354155.554,351731.161,359202.31,1669.474,4168.544,Auxin
354154.751,351745.126,355326.927,1656.831,967.697,Auxin
353736.751,351168.24,356094.003,1323.212,1396.68,Auxin
353839.545,351548.621,359219.53,1477.8,3966.804,Auxin
352582.413,355067.271,NA,408.827,NA,Auxin
353158.742,351452.591,NA,808.223,NA,Auxin
353177.565,350663.406,NA,821.251,NA,Auxin
357455.605,352102.096,366891.403,3306.891,11098.778,Auxin
355224.003,350744.812,360996.721,1108.309,3238.438,Auxin
355880.467,353596.291,361489.534,1569.632,3521.148,Auxin
355362.072,350884.021,360902.952,1433.808,2950.048,Auxin
355132.004,350984.383,364879.369,1064.66,6547.028,Auxin
357573.285,353341.394,362446.887,2459.638,4232.595,Auxin
358602.492,353675.093,361426.747,3526.216,3254.704,Auxin
357195.428,353033.825,363406.698,2926.153,5509.155,Auxin
356466.197,353370.3,361557.669,2026.113,3350.809,Auxin
355780.458,358591.152,361527.543,1554.659,3687.324,Auxin
353776.781,350530.728,363775.903,125.043,5779.946,Auxin
