C1 intensity,C2 intensity,area
352804.724,350238.435,0.08
352633.905,350210.148,0.069
353357.808,350114.188,0.005
351431.047,350248.973,0.089
352096.571,350115.242,0.007
351408.479,350142.709,0.018
351339.589,350196.578,0.051
351395.956,350152.694,0.027
351106.839,350192.525,0.051
351460.116,350292.308,0.069
352050.066,350235.133,0.087
351480.087,350182.826,0.042
351112.4,350210.206,0.045
351304.154,350194.814,0.047
351489.755,350160.728,0.025
351512.338,350150.734,0.007
351692.137,350144.125,0.011
351201.204,350258.484,0.069
351518.321,350148.781,0.007
351076.375,350319.309,0.065
351289.382,350143.234,0.004
351905.327,350343.032,0.085
351996.78,350173,0.02
352410.373,350276.755,0.081
352183.159,350196.296,0.031
352095.414,350230.618,0.054
351260.215,350146.46,0.013
351893.615,350144.723,0.013
351231.887,350091.614,0.116
352557.349,350049.737,0.061
351770.817,350045.958,0.038
351415.82,350052.393,0.069
353007.595,350058.583,0.061
351504.375,350048.061,0.054
351449.459,350077.531,0.042
351711.974,350081.031,0.038
351341.378,350078.456,0.04
351175.38,350086.269,0.047
351427.747,350053.992,0.007
353047.251,350100.556,0.061
352613.912,350093.257,0.051
353630.087,350056.141,0.014
351739.77,350130.296,0.137
352101.236,350059.349,0.02
353837.823,350052.625,0.005
351869.329,353311.177,0.081
352955.993,352685.214,0.04
352522.792,353947.162,0.192
352687.726,353538.979,0.074
351804.434,353381.84,0.172
351797.599,352197.474,0.011
351892.185,354709.054,0.164
351835.214,352608.916,0.042
351243.215,354591.376,0.262
351039.315,352868.995,0.058
351465.761,354473.106,0.146
351315.874,353513.603,0.078
350965.049,352918.111,0.06
350778.652,354716.227,0.154
350754.396,352411.163,0.025
350769.942,353136.736,0.078
351396.339,352943.592,0.067
351211.564,352869.387,0.052
350763.656,358815.944,0.121
350707.969,356049.489,0.096
350789.223,354699.638,0.027
350956.982,356399.107,0.074
350784.817,355879.095,0.069
350748.605,354998.76,0.033
350650.189,354166.594,0.013
350687.814,357560.067,0.072
350828.908,356731.913,0.07
350715.962,358495.907,0.168
350598.985,358815.907,0.137
350379.537,354123.448,0.011
350392.246,356430.523,0.072
351856.525,356154.523,0.08
351344.823,356264.044,0.067
353075.844,356500.832,0.076
352194.417,359195.703,0.116
352637.62,355757.108,0.056
351927.161,354965.801,0.031
351390.927,355209.345,0.047
351312.139,354412.91,0.014
351477.983,353789.109,0.004
351619.016,358596.688,0.181
351467.585,357397.14,0.201
351991.278,354010.138,0.009
351956.658,355838.593,0.061
351631.938,354944.104,0.06
352239.154,352716.804,0.101
351160.469,354392.46,0.15
351332.718,353893.014,0.146
352079.881,351940.77,0.014
351348.029,353122.771,0.112
351458.487,352098.256,0.027
353071.524,353226.496,0.096
352760.146,353992.34,0.155
353229.198,352510.655,0.052
353019.949,352131.849,0.031
352982.552,352747.744,0.065
351871.559,352507.146,0.049
352690.599,353135.994,0.087
353272.944,352324.933,0.04
353318.693,352268.341,0.04
353095.103,353863.725,0.15
352424.785,353804.19,0.246
352057.61,351783.062,0.004
352041.241,352210.368,0.025
352936.316,354203.068,0.173
351796.486,352876.886,0.087
352620.094,353278.199,0.098
352441.174,352158.717,0.034
352154.039,351835.398,0.007
353053.693,352126.477,0.034
352500.302,351884.13,0.011
352043.141,354882.446,0.052
351648.387,355024.603,0.061
352398.662,355459.173,0.103
351776.47,354409.72,0.04
351448.178,354847.088,0.051
352009.186,355844.305,0.148
351574.301,355313.26,0.089
352078.494,353630.812,0.011
352990.046,356747.6,0.226
351342.118,358884.038,0.249
351505.799,355673.093,0.179
351214.335,357262.499,0.078
351569.529,356130.957,0.07
352458.204,358161.774,0.09
351695.288,356238.222,0.058
351579.495,358707.249,0.13
351475.126,354320.974,0.011
351248.957,355140.296,0.027
351443.72,357238.352,0.067
351073.277,355600.461,0.036
350545.435,354834.474,0.023
350495.213,357007.81,0.201
350470.854,359014.406,0.112
350569.678,358514.308,0.132
350637.753,354584.929,0.013
350400.354,354789.759,0.02
351029.678,355678.327,0.04
350706.034,359918.606,0.143
350449.929,356305.569,0.063
350456.948,355856.594,0.045
350491.683,360977.607,0.134
350482.288,355951.262,0.043
350391.344,354502.21,0.013
350498.565,355395.781,0.033
350491.958,359598.866,0.087
350748.199,355509.203,0.036
353849.845,356600.776,0.067
352517.188,356573.833,0.067
352233.568,354976.441,0.029
352347.64,357252.243,0.069
353988.904,354764.526,0.023
351964.595,358902.463,0.204
352502.297,356937.859,0.054
352757.232,354496.562,0.018
353323.337,358943.217,0.094
352571.7,356686.638,0.049
353070.115,359444.269,0.098
351879.361,356897.744,0.074
352261.954,358414.76,0.105
351883.824,355526.186,0.034
352602.697,356301.043,0.061
353179.882,355919.498,0.052
351293.361,358041.323,0.089
351292.618,355178.255,0.034
351319.569,356699.687,0.058
350975.439,358452.634,0.108
351118.606,354475.746,0.013
351421.141,354360.031,0.013
350985.7,355071.779,0.025
351757.968,359291.899,0.15
351336.05,354126.406,0.004
351691.523,354784.091,0.022
351156.086,358707.087,0.083
351138.338,355737.84,0.043
351374.216,354185.211,0.007
350894.454,356742.372,0.069
350886.257,354932.877,0.025
351521.769,355070.713,0.061
350843.653,354761.478,0.063
350833.554,358146.904,0.177
351068.324,355666.731,0.07
351516.594,355565.56,0.117
350811.461,357843.762,0.159
350817.992,354461.974,0.051
351471.66,354985.636,0.061
351066.896,354788.829,0.07
350993.82,357457.659,0.145
350821.438,356219.479,0.137
350816.175,353567.036,0.011
350950.215,353695.312,0.018
350967.725,355300.734,0.076
350850.43,354925.608,0.052
353369.888,353763.74,0.027
353066.713,356390.235,0.114
353877.545,353191.531,0.002
352595.036,353813.32,0.023
353735.836,356842.902,0.264
354489.539,353974.028,0.034
354718.406,353640.141,0.029
353479.102,353897.91,0.033
353571.734,353451.562,0.018
354019.531,353687.159,0.018
352842.726,354518.942,0.052
352204.077,357531.331,0.112
353880.29,355927.409,0.074
352646.007,354795.633,0.06
352163.69,355745.942,0.125
353947.109,359576.366,0.096
354213.469,354746.18,0.051
353702.874,358007.324,0.112
353629.032,356226.584,0.061
353196.069,353362.547,0.011
353246.911,354803.744,0.061
353848.792,354302.156,0.045
353237.288,353691.859,0.018
354752.177,353207.167,0.005
353238.808,357921.601,0.134
354545.576,355989.689,0.074
352697.215,354652.207,0.052
352597.991,355052.388,0.101
352475.938,354252.899,0.042
353678.959,353546.031,0.045
352929.68,354580.873,0.051
352783.193,354823.069,0.152
354836.942,353697.401,0.101
353697.3,353834.03,0.112
355302.726,354140.702,0.116
354412.576,352814.35,0.058
352451.792,352532.795,0.04
355897.442,351939,0.002
352822.614,353108.812,0.067
350801.898,353100.819,0.087
351060.22,352943.138,0.103
350753.023,353781.456,0.092
350998.309,353237.862,0.08
351037.765,352546.58,0.045
351009.502,353147.575,0.07
351292.563,354412.01,0.123
350769.267,351989.742,0.007
350721.049,352185.428,0.018
350618.039,352402.589,0.04
351260.78,353214.433,0.105
350732.53,352210.454,0.023
351074.375,354113.097,0.181
351320.437,352150.972,0.018
352609.029,352090.878,0.016
354996.164,352278.205,0.025
353015.171,352321.958,0.031
352638.938,352111.066,0.016
352126.695,352068.284,0.018
352276.654,352237.993,0.023
352943.195,352209.364,0.031
353193.606,352492.209,0.054
352927.041,355493.303,0.13
353021.323,352696.58,0.045
352020.165,353004.329,0.045
353376.642,354452.418,0.094
352089.113,353225.944,0.056
353139.166,353794.985,0.065
352498.994,352665.448,0.016
351941.594,353149.59,0.042
352257.449,354890.014,0.11
352008.326,355583.53,0.145
352083.645,352422.531,0.005
352010.159,353837.691,0.099
355449.685,353771.751,0.067
354633.98,353084.983,0.04
353044.347,352609.649,0.016
354389.233,353010.445,0.031
353574.516,354985.363,0.137
353539.915,353518.262,0.063
352881.244,352648.347,0.018
352953.311,355917.431,0.266
354457.798,353669.693,0.076
353251.106,353053.447,0.034
353497.69,354069.04,0.09
353965.199,353966.864,0.24
352611.804,355525.402,0.146
352463.803,353489.063,0.081
353066.603,353367.775,0.06
354969.143,352460.219,0.014
352219,354513.039,0.309
356657.621,353723.113,0.056
355459.591,353256.391,0.049
355570.107,352628.174,0.013
356283.134,352511.281,0.009
354019.783,353929.979,0.083
353454.906,354192.671,0.188
357509.356,354326.961,0.098
354685.377,355964.806,0.215
356886.306,353866.72,0.065
354651.631,354864.522,0.222
356700.818,355898.509,0.284
356856.874,353357.226,0.042
357404.161,353000.058,0.047
354480.509,352661.993,0.033
355462.122,353155.258,0.099
356615.856,353579.682,0.06
356619.473,353307.417,0.047
354133.261,353465.46,0.051
353636.548,353047.024,0.04
354945.971,355205.273,0.21
354159.7,352532.094,0.002
353070.257,355809.586,0.159
352405.368,355394.369,0.047
352341.281,356988.027,0.087
350489.133,357948.297,0.089
350758.587,355707.602,0.065
352969.876,355559.826,0.054
352407.403,356790.972,0.076
354191.063,358819.336,0.166
350682.443,354341.804,0.02
351928.848,356166.271,0.058
352307.207,356776.479,0.085
354111.09,355412.804,0.056
354087.491,357546.91,0.098
353657.48,356029.734,0.061
351065.028,355138.639,0.067
351852.716,357813.566,0.155
354822.827,354634.897,0.025
353516.477,357775.6,0.248
,360293.829,0.132
,354034.664,0.007
,356568.524,0.081
,357156.943,0.291
,355383.894,0.047
,358454.624,0.098
,354698.95,0.031
,355692.789,0.099
,356358.599,0.089
,354456.99,0.09
,353937.366,0.043
,354557.704,0.067
,355069.637,0.06
,354254.893,0.04
,357790.568,0.161
,356107.81,0.166
,357078.444,0.132
,354941.481,0.07
,355284.838,0.063
,359050.945,0.163
,353893.879,0.029
,358760.427,0.136
,354049.252,0.033
,354807.41,0.054
,353982.231,0.036
,355516.684,0.085
,355002.129,0.065
,356810.271,0.116
,354897.419,0.128
,353401.964,0.011
,355973.826,0.09
,353364.259,0.013
,353217.188,0.007
,353411.902,0.014
,353960.119,0.038
,354328.789,0.042
,355969.074,0.09
