C1mean,C2meaninC1ROI,C2meaninC2ROI,C1StdDev,C2StdDev
354122.625,350370.835,355655.034,963.110,1239.850
354986.057,353593.696,358646.096,1543.106,3557.839
355222.887,352065.981,356961.093,1770.344,2045.502
354458.230,352434.663,355377.851,1289.829,1076.240
355352.439,352243.864,357534.990,2321.833,2888.902
354391.560,352053.823,356299.432,1218.309,1724.755
352839.796,351913.640,354803.156,71.680,727.635
354562.455,351003.901,355211.561,1199.710,940.718
354670.445,353296.894,356851.523,1348.972,2074.605
354731.203,351205.201,358524.610,1432.333,3407.520
355029.653,351786.744,354312.349,1578.259,318.155
355205.771,351406.629,359087.660,1979.075,3918.460
354453.927,352158.387,355874.623,1316.661,1495.729
355799.993,351697.683,354601.542,2337.196,403.592
356308.336,351275.393,357311.557,2605.008,2623.076
355041.147,351427.857,357332.356,1593.529,2370.996
353326.013,352852.701,355579.229,368.960,1198.314
352812.382,350366.101,353954.479,102.263,154.674
355451.271,352850.797,358186.975,2066.983,3196.788
354025.285,352804.653,,1183.633,
355248.830,350842.614,359336.430,1848.399,4531.539
357209.335,352509.365,355246.542,3098.866,566.055
356913.555,351917.708,356398.408,2680.703,1545.066
354187.465,352648.705,357274.214,644.423,2177.427
356635.380,352367.312,357581.576,2387.443,2437.894
356847.030,352293.036,356997.725,2930.566,1881.090
354151.555,351708.370,357911.395,567.030,2726.944
353814.364,350782.721,356681.708,261.526,1641.709
353796.968,353653.944,354669.710,310.973,237.377
355666.151,350502.942,358374.652,1629.517,2998.682
354991.891,350754.173,357505.024,1192.763,2297.740
354392.431,351568.158,356746.663,752.163,1386.470
354129.200,354461.258,360371.625,449.733,4483.978
354160.060,356715.875,359280.168,571.633,3837.255
353398.672,351713.781,356213.455,106.663,1472.986
353348.938,350377.729,357232.319,22.743,2222.410
353376.344,350561.062,,39.158,
353559.526,350405.971,,168.004,
354589.796,350738.352,,827.080,
353395.388,354695.433,,57.597,
353414.384,358298.429,,54.666,
354363.030,351723.398,357051.128,1941.022,2756.809
353718.448,351728.416,356769.284,1377.159,2447.740
353318.529,351822.500,356021.836,1057.955,1872.416
353542.078,353258.820,353623.912,1288.488,77.736
353170.192,352254.279,355523.683,1106.561,1388.493
352180.854,350740.282,356712.498,207.184,2365.187
353174.903,351259.559,354848.321,822.877,923.871
352918.843,352135.826,354580.796,916.471,707.438
353356.352,351407.664,353780.365,937.212,109.472
352786.566,350939.545,353654.125,647.967,109.487
353042.111,351823.233,359228.309,837.996,4441.716
,,356404.231,,2145.073
351848.370,351184.820,361853.039,769.894,4881.971
351674.374,351930.430,356521.906,602.773,614.848
351570.400,352859.871,362561.861,466.493,5674.433
351134.012,351036.439,359860.254,183.842,2886.542
351109.021,351360.631,361267.338,167.853,3822.419
351398.069,351644.645,357813.031,366.516,1593.834
351459.286,354188.741,360805.554,438.119,4006.549
351697.622,351972.787,361428.549,571.765,4210.875
351557.483,354334.426,356442.369,500.906,570.668
,,358883.206,,2419.440
359096.725,351134.478,366618.609,3089.778,6538.915
357127.603,351375.077,358544.391,1672.526,96.498
360697.670,355160.342,367004.286,3820.950,5890.701
359971.152,352321.740,366719.944,2932.748,6325.109
356067.250,351369.070,358512.354,827.220,135.445
355299.434,350770.002,363371.483,352.927,3582.929
357439.743,351795.384,366985.965,2299.846,6359.427
358729.868,352072.897,368188.774,2636.806,6932.337
354903.828,350892.266,364948.475,13.325,3957.635
360490.297,355542.622,360356.183,4499.101,1608.663
358142.135,354196.350,358415.188,2233.831,0.000
359146.826,356189.218,,3095.030,
358210.169,352381.734,,2869.580,
359045.757,360061.141,,2531.934,
355760.588,352987.184,,552.300,
354982.000,352051.540,,148.895,
356795.047,354362.756,366165.761,2173.252,8615.265
355904.413,353845.098,360563.670,1643.706,3027.015
354685.884,350544.838,362112.546,528.015,4351.858
358603.250,353770.320,361677.973,2979.201,4152.690
354798.078,350497.683,358500.980,678.229,1678.623
357447.312,353950.929,359726.927,2442.074,2588.397
358708.930,353640.194,359260.445,3380.936,2247.048
356844.987,351973.775,362430.055,1955.052,4625.492
356180.925,351388.291,362821.043,1543.835,4829.894
355411.038,352403.817,362527.112,1321.082,4013.291
354262.303,353770.466,361621.979,269.982,3748.207
354227.919,350432.505,,299.257,
352518.428,351220.637,353379.975,989.854,414.036
353121.224,351439.895,353341.108,1442.966,448.322
352080.424,352228.609,353867.574,666.375,779.761
351965.644,351188.234,357317.257,431.382,3783.282
352653.097,351553.128,355469.919,1047.977,2038.910
352027.306,350997.734,353133.887,530.806,296.033
352455.771,351712.532,353092.767,847.911,246.552
352767.693,350627.202,354184.973,892.070,1004.581
351425.301,351795.043,353500.562,28.369,508.616
352507.487,350986.825,355140.461,860.935,1673.165
352466.211,351538.941,355393.262,741.455,1946.309
352080.422,350642.659,353154.730,630.303,258.852
351433.094,350220.135,354050.257,35.142,941.647
351639.135,351363.015,355709.395,156.145,2318.620
352536.147,350367.504,356384.641,878.573,3153.053
352294.558,351932.680,356086.987,772.573,2428.317
,,355545.187,,2099.323
,,352954.384,,173.460
355148.801,353511.005,357943.835,1624.534,1876.319
355211.562,352651.686,361656.515,2044.289,5085.882
355765.642,351700.080,357323.750,2148.185,1587.774
354410.915,351439.711,361432.529,1416.381,4831.938
355353.567,351802.658,360316.267,1756.672,4009.681
355365.228,350542.118,360094.990,1947.294,3822.105
356027.917,353720.908,359066.576,2202.301,2785.003
352755.198,350359.917,357214.784,20.329,1556.945
353249.170,352062.513,356813.731,331.298,1250.087
353147.625,351552.726,358156.424,298.050,2203.099
354805.109,352904.630,356233.974,1844.544,511.088
353798.377,351899.935,356223.919,1050.836,420.171
352390.107,351748.706,356599.478,145.016,639.917
354566.921,352005.626,357127.175,1734.703,1114.933
352496.810,350997.974,355758.263,209.355,316.042
352644.671,353028.381,360190.677,296.098,3625.883
353279.167,354011.161,356982.778,739.654,918.633
352395.970,351290.516,358227.365,171.006,1883.649
354727.440,353455.854,359506.062,1796.360,2849.009
352828.973,352582.350,360220.488,417.793,3431.410
