Area,Mean,StdDev,Circ.,AR,Round,Solidity
0.094,366618.609,6538.915,0.939,1.460,0.685,0.897
0.004,358544.391,96.498,1.000,2.000,0.500,1.000
0.065,367004.286,5890.701,0.996,1.118,0.895,0.947
0.083,366719.944,6325.109,1.000,1.153,0.867,0.929
0.005,358512.354,135.445,1.000,1.464,0.683,0.857
0.063,363371.483,3582.929,0.947,1.392,0.718,0.864
0.155,366985.965,6359.427,0.872,1.710,0.585,0.910
0.251,368188.774,6932.337,0.688,2.785,0.359,0.936
0.188,364948.475,3957.635,0.639,3.010,0.332,0.897
0.038,360356.183,1608.663,1.000,1.315,0.761,0.840
0.002,358415.188,0.000,1.000,1.000,1.000,1.000
0.022,356233.974,511.088,1.000,1.579,0.633,0.889
0.018,356223.919,420.171,1.000,1.236,0.809,0.909
0.023,356599.478,639.917,0.956,1.551,0.645,0.929
0.042,357127.175,1114.933,0.938,1.225,0.816,0.852
0.013,355758.263,316.042,1.000,1.069,0.936,0.875
0.099,360190.677,3625.883,0.950,1.126,0.888,0.894
0.036,356982.778,918.633,1.000,1.435,0.697,0.909
0.067,358227.365,1883.649,0.948,1.358,0.736,0.892
0.094,359506.062,2849.009,0.982,1.422,0.703,0.897
0.107,360220.488,3431.410,1.000,1.398,0.715,0.937
0.139,361091.500,4144.163,0.923,1.613,0.620,0.922
0.049,357484.287,1247.555,1.000,1.286,0.777,0.900
0.208,363414.223,5756.480,0.818,1.898,0.527,0.920
0.155,362383.201,5418.503,0.933,1.429,0.700,0.905
0.087,353379.975,414.036,0.606,3.349,0.299,0.850
0.089,353341.108,448.322,0.667,2.557,0.391,0.845
0.159,353867.574,779.761,0.561,3.580,0.279,0.854
0.164,357317.257,3783.282,0.954,1.257,0.796,0.910
0.269,355469.919,2038.910,0.622,3.154,0.317,0.892
0.023,353133.887,296.033,1.000,1.159,0.863,0.897
0.043,353092.767,246.552,0.702,2.450,0.408,0.814
0.193,354184.973,1004.581,0.609,3.431,0.291,0.943
0.040,353500.562,508.616,0.988,1.240,0.807,0.863
0.083,355140.461,1673.165,0.992,1.047,0.955,0.920
0.136,355393.262,1946.309,1.000,1.359,0.736,0.943
0.020,353154.730,258.852,1.000,1.372,0.729,0.957
0.136,354050.257,941.647,0.967,1.538,0.650,0.926
0.155,355709.395,2318.620,0.914,1.369,0.731,0.920
0.231,356384.641,3153.053,0.829,1.918,0.521,0.928
0.199,356086.987,2428.317,0.888,1.645,0.608,0.905
0.173,355545.187,2099.323,0.887,1.699,0.589,0.901
0.020,352954.384,173.460,1.000,1.372,0.729,0.957
0.137,360543.975,4328.723,0.944,1.267,0.789,0.899
0.085,358598.372,2687.218,1.000,1.228,0.814,0.931
0.002,354962.812,0.000,1.000,1.000,1.000,1.000
0.069,357696.352,1860.624,1.000,1.296,0.771,0.916
0.054,356639.529,1247.844,0.986,1.245,0.804,0.870
0.061,360391.392,3762.104,0.941,1.564,0.640,0.944
0.036,355952.622,778.186,1.000,1.083,0.923,0.889
0.219,360687.117,4233.758,0.860,1.762,0.568,0.917
0.054,356653.302,1287.049,1.000,1.167,0.857,0.909
0.215,360560.568,4393.210,0.906,1.521,0.658,0.933
0.007,355046.164,80.133,1.000,1.000,1.000,1.000
0.072,357777.510,1950.109,1.000,1.234,0.810,0.920
0.107,357943.835,1876.319,0.803,1.513,0.661,0.881
0.190,361656.515,5085.882,0.953,1.523,0.656,0.946
0.061,357323.750,1587.774,1.000,1.251,0.799,0.907
0.168,361432.529,4831.938,0.943,1.501,0.666,0.921
0.130,360316.267,4009.681,0.929,1.296,0.771,0.900
0.121,360094.990,3822.105,0.948,1.281,0.780,0.912
0.150,359066.576,2785.003,0.913,1.557,0.642,0.917
0.058,357214.784,1556.945,1.000,1.000,1.000,0.941
0.052,356813.731,1250.087,1.000,1.107,0.903,0.892
0.074,358156.424,2203.099,0.976,1.185,0.844,0.891
0.114,363838.327,4907.635,0.921,1.244,0.804,0.955
0.166,364518.282,6189.565,0.932,1.218,0.821,0.915
0.074,360045.520,2263.033,0.976,1.292,0.774,0.872
0.067,361455.222,3497.025,0.900,1.235,0.809,0.914
0.108,362445.925,4256.209,0.936,1.161,0.862,0.896
0.033,358266.286,920.464,1.000,1.218,0.821,0.947
0.152,363165.750,4900.143,0.957,1.311,0.763,0.923
0.123,362501.790,4485.558,1.000,1.136,0.880,0.907
0.058,355859.290,1125.406,0.820,1.757,0.569,0.877
0.101,356978.182,2032.886,0.825,1.990,0.503,0.868
0.034,355058.599,639.093,1.000,1.548,0.646,0.905
